id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4815200119162263,,2182106380,陆巡Alex,#汕头野茶食堂#周日南山湾吃个午餐，晚上要去南滨文化公园，没开灯，倒是遇到隧道风塔有开灯，隔了20分钟之后就关了。#比亚迪海豚#,,,,"汕头野茶食堂,比亚迪海豚",0,2,3,2022-09-18 23:57,,"['https://wx1.sinaimg.cn/large/82104d0cgy1h6b77e70r4j21400u0gx1.jpg', 'https://wx2.sinaimg.cn/large/82104d0cgy1h6b722qq3uj235c2d0npg.jpg', 'https://wx1.sinaimg.cn/large/82104d0cgy1h6b7249fltj23342bc1kx.jpg', 'https://wx4.sinaimg.cn/large/82104d0cgy1h6b725b5cyj235c2d04aa.jpg', 'https://wx1.sinaimg.cn/large/82104d0cgy1h6b726w99zj22d035chah.jpg', 'https://wx4.sinaimg.cn/large/82104d0cgy1h6b77ep66pj20u0140dig.jpg', 'https://wx3.sinaimg.cn/large/82104d0cgy1h6b72cqs37j235c2d0kjn.jpg', 'https://wx1.sinaimg.cn/large/82104d0cgy1h6b72dvstpj23342bchdu.jpg', 'https://wx3.sinaimg.cn/large/82104d0cgy1h6b75xwriqj23342bchdv.jpg']",,
4815196935160730,,5647830501,灰尘Hui,没想到比亚迪在新能源领域销量这么猛，前十占了六个,,,,,0,1,5,2022-09-18 23:44,,['https://wx4.sinaimg.cn/large/006adIIlgy1h6b6t9l8erj30u02sb43d.jpg'],,
4815196625045436,,6221670060,GO车情报员,新能源SUV哪家强？比亚迪三车上榜，8月新能源SUV销量快评#特斯拉##比亚迪#LGO车情报员的微博视频,,,,"特斯拉,比亚迪",0,0,1,2022-09-18 23:43,,,"http://f.video.weibocdn.com/o0/xRNdi0ajlx07ZjMmrR1C01041201yXm00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589843&ssig=oj8N83ZDVK&KID=unistore,video",
4815194548871048,,2804080364,后山投资札记,上市车企近半亏损，钱被谁赚了？格隆汇9月18日丨据中国新闻周刊，在汽车市场与大环境的多重压力下，车企的财报中开始透露出些许焦虑。梳理17家以乘用车业务为主的上市车企半年财报以及Q2财报发现，实现营收、净利双增长的车企仅3家，分别是比亚迪、长城汽车以及广汽集团。而从净利润来看，17家车企中，近一半出现了不同程度的亏损，其中2家企业净利润跌幅超过200%。另一组数据显示，上半年，我国汽车制造业完成营业收入40892.8亿元，同比下降4.2%；实现利润2129亿元，同比下降25.5%。因为上半年疫情的原因，出现利润下滑并不奇怪。但在营收仅下降4%的情况下，利润下跌25.5%，说明车没少卖太多，但利润大幅下滑。原材料价格上涨导致的销售成本提升是每家车企都在头痛的问题。难道钱真的都被电池商赚走了吗？从宁德时代等几家上市的动力电池制造商发布的上半年业绩看，动力电池制造商的净利润率并没有想象中突出。但再看动力电池的上游供应商赣锋锂业、天齐锂业的半年财报发现，他们在今年上半年才是真正的赚得钵满盆满。,,,,,0,0,0,2022-09-18 23:35,,['https://wx1.sinaimg.cn/large/a722deecgy1h6b6kfltg0j20rs0oundg.jpg'],,
4815193501337011,,6146667546,三三巷里,不会这比亚迪还在玩,,,,,0,0,0,2022-09-18 23:30,,,,
4815192243044831,,5896956668,我心向善cab,以下是走是留，私信告诉你强就是强，弱就是弱，不要自己骗自己-------新莱应材普邦股份比音勒芬华强科技新开源浦发银行比依股份华骐环保新开普浦东金桥比亚迪华平股份新炬网络浦东建设本立科技华鹏飞新巨丰濮阳惠成本钢板材华培动力,,,,,0,0,0,2022-09-18 23:25,,,,
4815188723762960,,2966188547,地球联合军舰队,比亚迪我永远的神👑🏆👏🍾🥂#bilibili#一路向北BYD的视频O大众也想“投敌”？未来你买的电动车，有70%来自于比亚迪,,,,bilibili,0,0,0,2022-09-18 23:11,,,,
4815187964068655,,7743689117,贴膜店小天,大家车汽车膜·比亚迪汉Dm-i全车改色AX超亚灰蓝交车忘带实体钥匙的Jam哥，回去立马顺某丰过来，在派件的一刻才发觉寄了A6的……3天的开锁解锁（特意统筹过，已经很收敛了）应该大哥深刻了解实体钥匙的重要性哈哈哈哈#比亚迪汉##汽车改色贴膜#,,广州·大家车汽车膜,,"比亚迪汉,汽车改色贴膜",0,1,0,2022-09-18 23:08,,"['https://wx4.sinaimg.cn/large/008s3Jhzgy1h6b5b559l9j313u0twgw9.jpg', 'https://wx3.sinaimg.cn/large/008s3Jhzgy1h6b5di6wz3j30hq0lldhv.jpg', 'https://wx3.sinaimg.cn/large/008s3Jhzgy1h6b5eiqsoij313u0tun43.jpg', 'https://wx1.sinaimg.cn/large/008s3Jhzgy1h6b5eiaxxbj313u0tuaci.jpg']",,
4815187754092143,,3477609125,天地落白,中国中大型轿车领域销售榜单中，比亚迪汉车型一骑绝尘，门面担当。今年八月份中大型轿车销量排名，比亚迪汉销量排第一，销量25987辆。极氪001则卖了7166辆，排名第五。在中大型轿车领域，德系BBA垄断的局面自此一去不复返了。,,,,,1,1,1,2022-09-18 23:08,,['https://wx1.sinaimg.cn/large/cf481aa5ly1h6b5s4m4cbj20rg0s1nao.jpg'],,
4815187691701516,,7303429839,chong-逢,长沙雨花区租房#毛竹塘##雨花区比亚迪#雨花区枫树山小学旁全新精装修三房两卫拎包入住,,,,"毛竹塘,雨花区比亚迪",0,0,0,2022-09-18 23:07,,"['https://wx1.sinaimg.cn/large/007YgrJtgy1h6b5ryquvhj30zg0ql42h.jpg', 'https://wx4.sinaimg.cn/large/007YgrJtgy1h6b5rzlixnj30zg0qlae6.jpg', 'https://wx4.sinaimg.cn/large/007YgrJtgy1h6b5s09u0jj30zg0ql77t.jpg', 'https://wx2.sinaimg.cn/large/007YgrJtgy1h6b5s0z8p4j30zg0qljvg.jpg', 'https://wx3.sinaimg.cn/large/007YgrJtgy1h6b5s1jpnlj30zg0qljvt.jpg', 'https://wx2.sinaimg.cn/large/007YgrJtgy1h6b5s2b9okj30zg0qlq7o.jpg']",,
4815186260661582,,3952877071,是97的LULU,我和卖哪吒的聊了一晚上比亚迪，突然觉得比亚迪也没那么香了,,,,,0,0,0,2022-09-18 23:02,,,,
